"","gene","symbol","Description","Entrez"
"1","AT1G25175","AT1G25175","ncRNA(AT1G25175)",6240724
"2","AT5G57565","AT5G57565","Protein kinase superfamily protein(AT5G57565)",2746216
"3","AT1G62500","AT1G62500","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G62500)",842547
"4","AT2G46890","AT2G46890","3-oxo-5-alpha-steroid 4-dehydrogenase (DUF1295)(AT2G46890)",819302
"5","AT3G22310","RH9","putative mitochondrial RNA helicase 1(PMH1)",821800
"6","AT4G25630","MED36A","fibrillarin 2(FIB2)",828668
"7","AT2G05920","AT2G05920","Subtilase family protein(AT2G05920)",815145
"8","AT1G12950","RSH2","root hair specific 2(RSH2)",837853
"9","AT1G12040","LRX1","leucine-rich repeat/extensin 1(LRX1)",837756
"10","AT3G61300","AT3G61300","C2 calcium/lipid-binding plant phosphoribosyltransferase family protein(AT3G61300)",825302
"11","AT2G29550","TUBB7","tubulin beta-7 chain(TUB7)",817504
"12","AT5G20820","AT5G20820","SAUR-like auxin-responsive protein family(AT5G20820)",832205
"13","AT1G06830","GRXS11","Glutaredoxin family protein(AT1G06830)",837195
"14","AT4G12440","APT4","adenine phosphoribosyl transferase 4(APT4)",826856
"15","AT1G54010","GLL23","GDSL-like Lipase/Acylhydrolase superfamily protein(AT1G54010)",841839
"16","AT4G30560","CNGC9","cyclic nucleotide gated channel 9(CNGC9)",829179
"17","AT5G66280","GMD1","GDP-D-mannose 4,6-dehydratase 1(GMD1)",836760
"18","AT5G10990","AT5G10990","SAUR-like auxin-responsive protein family(AT5G10990)",830966
"19","AT5G23830","AT5G23830","MD-2-related lipid recognition domain-containing protein(AT5G23830)",832448
"20","AT2G25160","CYP82F1","cytochrome P450, family 82, subfamily F, polypeptide 1(CYP82F1)",817054
"21","AT3G03341","AT3G03341","cold-regulated protein(AT3G03341)",6240770
"22","AT1G49570","PER10","Peroxidase superfamily protein(AT1G49570)",841381
"23","AT1G34510","PER8","Peroxidase superfamily protein(AT1G34510)",840353
"24","AT1G56680","AT1G56680","Chitinase family protein(AT1G56680)",842124
"25","AT3G57490","RPS2D","Ribosomal protein S5 family protein(AT3G57490)",824916
"26","AT5G24313","AT5G24313","transmembrane protein(AT5G24313)",832499
"27","AT5G11230","AT5G11230","Nucleotide-sugar transporter family protein(AT5G11230)",830993
"28","AT5G04960","PME46","Plant invertase/pectin methylesterase inhibitor superfamily(AT5G04960)",830378
"29","AT2G46140","AT2G46140","Late embryogenesis abundant protein(AT2G46140)",819221
"30","AT5G39320","UGD4","UDP-glucose 6-dehydrogenase family protein(UDG4)",833928
"31","AT4G08410","AT4G08410","Proline-rich extensin-like family protein(AT4G08410)",826400
"32","AT4G22130","SRF8","STRUBBELIG-receptor family 8(SRF8)",828302
"33","AT2G24980","AT2G24980","Proline-rich extensin-like family protein(EXT6)",817037
"34","AT4G26010","PER44","Peroxidase superfamily protein(AT4G26010)",828707
"35","AT3G49960","PER35","Peroxidase superfamily protein(AT3G49960)",824158
"36","AT5G67400","PER73","root hair specific 19(RHS19)",836876
