"","gene","symbol","Description","Entrez"
"1","AT3G44860","FAMT","farnesoic acid carboxyl-O-methyltransferase(FAMT)",823620
"2","AT3G45330","LECRK11","Concanavalin A-like lectin protein kinase family protein(AT3G45330)",823671
"3","AT3G45920","AT3G45920","Protein kinase superfamily protein(AT3G45920)",823735
"4","AT2G29165","AT2G29165","hypothetical protein(AT2G29165)",3768465
"5","AT3G45390","AT3G45390","LOW protein: L-type lectin-domain receptor kinase-like protein(AT3G45390)",823677
"6","AT1G01725","AT1G01725","adenylosuccinate synthetase(AT1G01725)",839271
"7","AT1G23360","MENG","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(MENG)",838945
"8","AT1G22650","INVD","Plant neutral invertase family protein(A/N-InvD)",838871
"9","AT3G23480","AT3G23480","Cyclopropane-fatty-acyl-phospholipid synthase(AT3G23480)",821929
"10","AT5G04900","NOL","NYC1-like protein(NOL)",830372
"11","AT2G14255","PAT23","Ankyrin repeat family protein with DHHC zinc finger domain-containing protein(AT2G14255)",2745525
"12","AT1G51430","AT1G51430","cTAGE family protein(AT1G51430)",841568
"13","AT4G02120","AT4G02120","CTP synthase family protein(AT4G02120)",828137
"14","AT5G24670","AT5G24670","Cytidine/deoxycytidylate deaminase family protein(EMB2820)",832539
"15","AT5G11610","AT5G11610","Exostosin family protein(AT5G11610)",831033
"16","AT3G55850","LAF3","Amidohydrolase family(LAF3)",824751
"17","AT5G40720","AT5G40720","C3H4 type zinc finger protein (DUF23)(AT5G40720)",834072
"18","AT2G26480","UGT76D1","UDP-glucosyl transferase 76D1(UGT76D1)",817189
"19","AT4G02420","LECRK44","Concanavalin A-like lectin protein kinase family protein(AT4G02420)",828035
"20","AT1G13510","AT1G13510","hypothetical protein (DUF1262)(AT1G13510)",837911
"21","AT4G00700","AT4G00700","C2 calcium/lipid-binding plant phosphoribosyltransferase family protein(AT4G00700)",828031
"22","AT1G24320","GCS2","Six-hairpin glycosidases superfamily protein(AT1G24320)",839048
"23","AT2G17060","AT2G17060","Disease resistance protein (TIR-NBS-LRR class) family(AT2G17060)",816211
"24","AT2G48090","AT2G48090","hypothetical protein(AT2G48090)",819421
"25","AT1G15125","AT1G15125","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G15125)",838076
"26","AT5G49780","AT5G49780","Leucine-rich repeat protein kinase family protein(AT5G49780)",835041
"27","AT4G15370","BARS1","baruol synthase 1(BARS1)",827203
"28","AT5G67430","AT5G67430","Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT5G67430)",836879
"29","AT3G60470","AT3G60470","transmembrane protein, putative (DUF247)(AT3G60470)",825218
"30","AT1G58561","AT1G58561","hypothetical protein(AT1G58561)",3767567
"31","AT1G14790","RDR1","RNA-dependent RNA polymerase 1(RDR1)",838044
"32","AT2G28940","AT2G28940","Protein kinase superfamily protein(AT2G28940)",817443
"33","AT2G01430","ATHB-17","homeobox-leucine zipper protein 17(HB17)",814671
"34","AT3G57240","BG3","beta-1,3-glucanase 3(BG3)",824891
"35","AT1G15960","NRAMP6","NRAMP metal ion transporter 6(NRAMP6)",838166
"36","AT4G38530","PLC3","phospholipase C1(PLC1)",830010
"37","AT2G24400","AT2G24400","SAUR-like auxin-responsive protein family(AT2G24400)",816976
"38","AT2G32010","CVL1","CVP2 like 1(CVL1)",817761
"39","AT3G20210","dVPE","delta vacuolar processing enzyme(DELTA-VPE)",821565
"40","AT4G00880","AT4G00880","SAUR-like auxin-responsive protein family(AT4G00880)",827989
"41","AT5G14210","AT5G14210","Leucine-rich repeat protein kinase family protein(AT5G14210)",831271
