"","gene","symbol","Description","Entrez"
"1","AT3G46620","AT3G46620","zinc finger (C3HC4-type RING finger) family protein(RDUF1)",823815
"2","AT1G16360","ALIS4","LEM3 (ligand-effect modulator 3) family protein / CDC50 family protein(AT1G16360)",838205
"3","AT1G60190","PUB19","ARM repeat superfamily protein(PUB19)",842314
"4","AT2G27080","AT2G27080","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT2G27080)",817250
"5","AT3G50970","XERO2","dehydrin family protein(LTI30)",824261
"6","AT2G41380","AT2G41380","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT2G41380)",818736
"7","AT3G12710","AT3G12710","DNA glycosylase superfamily protein(AT3G12710)",820453
"8","AT3G18820","RABG3F","RAB GTPase homolog G3F(RAB7B)",821415
"9","AT1G10370","GSTU17","Glutathione S-transferase family protein(ERD9)",837576
"10","AT1G72940","AT1G72940","Toll-Interleukin-Resistance (TIR) domain-containing protein(AT1G72940)",843625
"11","AT4G30430","TET9","tetraspanin9(TET9)",829166
"12","AT3G23170","AT3G23170","hypothetical protein(AT3G23170)",821893
"13","AT5G10750","AT5G10750","enhanced disease resistance-like protein (DUF1336)(AT5G10750)",830942
"14","AT2G34360","AT2G34360","MATE efflux family protein(AT2G34360)",817999
"15","AT1G10560","PUB18","plant U-box 18(PUB18)",837597
"16","AT4G24570","PUMP4","dicarboxylate carrier 2(DIC2)",828559
"17","AT2G30020","AT2G30020","Protein phosphatase 2C family protein(AT2G30020)",817553
"18","AT4G29780","AT4G29780","nuclease(AT4G29780)",829100
"19","AT5G47230","ERF5","ethylene responsive element binding factor 5(ERF5)",834770
"20","AT3G45960","EXLA3","expansin-like A3(EXLA3)",823739
"21","AT1G69430","AT1G69430","Son of sevenless protein(AT1G69430)",843275
"22","AT2G28500","LBD11","LOB domain-containing protein 11(LBD11)",817398
"23","AT3G05790","LON4","lon protease 4(LON4)",819748
"24","AT2G43290","CML5","Calcium-binding EF-hand family protein(MSS3)",818931
"25","AT3G54200","AT3G54200","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT3G54200)",824587
"26","AT1G03495","3AT2","HXXXD-type acyl-transferase family protein(AT1G03495)",3766646
"27","AT3G50980","XERO1","dehydrin xero 1(XERO1)",824262
"28","AT4G00080","UNE11","Plant invertase/pectin methylesterase inhibitor superfamily protein(UNE11)",828192
"29","AT5G56010","HSP90-3","heat shock protein 81-3(HSP81-3)",835699
"30","ATMG00030","ORF107A",NA,NA
"31","ATMG00020","RRN26",NA,NA
"32","ATMG01390","RRN18",NA,NA
"33","AT1G19450","AT1G19450","Major facilitator superfamily protein(AT1G19450)",838529
"34","AT4G18760","AtRLP51","receptor like protein 51(RLP51)",827610
"35","AT4G19960","POT9","K+ uptake permease 9(KUP9)",827740
"36","AT1G29025","AT1G29025","Calcium-binding EF-hand family protein(AT1G29025)",10723075
"37","AT5G60920","COB","COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family(COB)",836213
"38","AT2G41810","AT2G41810","imidazolonepropionase (Protein of unknown function, DUF642)(AT2G41810)",818780
"39","AT1G51830","AT1G51830","Leucine-rich repeat protein kinase family protein(AT1G51830)",841610
"40","AT1G72140","NPF5.12","Major facilitator superfamily protein(AT1G72140)",843545
"41","AT5G61650","CYCU4-3","CYCLIN P4;2(CYCP4;2)",836287
"42","AT5G65160","TPR14","tetratricopeptide repeat (TPR)-containing protein(TPR14)",836639
"43","AT1G30850","RSH4","root hair specific 4(RSH4)",839969
"44","AT3G04360","AT3G04360","Calcium-dependent lipid-binding (CaLB domain) family protein(AT3G04360)",819591
"45","AT5G50610","AT5G50610","transmembrane protein(AT5G50610)",835130
"46","AT2G43150","AT2G43150","Proline-rich extensin-like family protein(AT2G43150)",818917
"47","AT1G74380","GT5","xyloglucan xylosyltransferase 5(XXT5)",843779
"48","AT2G01970","TMN3","Endomembrane protein 70 protein family(AT2G01970)",814728
"49","AT2G22795","AT2G22795","hypothetical protein(AT2G22795)",816810
"50","AT3G07810","AT3G07810","RNA-binding (RRM/RBD/RNP motifs) family protein(AT3G07810)",819972
"51","AT5G48560","BHLH78","basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT5G48560)",834912
"52","AT2G41660","MIZ1","MIZU-KUSSEI-like protein (Protein of unknown function, DUF617)(MIZ1)",818764
"53","AT5G17330","GAD1","glutamate decarboxylase(GAD)",831599
"54","AT2G45400","BEN1","NAD(P)-binding Rossmann-fold superfamily protein(BEN1)",819146
"55","AT5G66920","sks17","SKU5 similar 17(sks17)",836826
"56","AT3G03050","CSLD3","cellulose synthase-like D3(CSLD3)",821148
