"","gene","symbol","Description","Entrez"
"1","AT4G06746","RAP2-9","related to AP2 9(RAP2.9)",826148
"2","AT3G21670","NPF6.4","Major facilitator superfamily protein(AT3G21670)",821721
"3","AT3G48690","CXE12","alpha/beta-Hydrolases superfamily protein(CXE12)",824030
"4","AT1G79410","5-Oct","organic cation/carnitine transporter5(OCT5)",844279
"5","AT4G38250","AT4G38250","Transmembrane amino acid transporter family protein(AT4G38250)",829982
"6","AT4G32810","CCD8","carotenoid cleavage dioxygenase 8(CCD8)",829417
"7","AT2G34070","TBL37","TRICHOME BIREFRINGENCE-LIKE 37(TBL37)",817968
"8","AT3G16850","AT3G16850","Pectin lyase-like superfamily protein(AT3G16850)",820938
"9","AT1G76090","SMT3","sterol methyltransferase 3(SMT3)",843941
"10","AT4G17800","AHL23","Putative AT-hook DNA-binding family protein(AT4G17800)",827502
"11","AT1G57990","PUP18","purine permease 18(PUP18)",842166
"12","AT2G47440","AT2G47440","Tetratricopeptide repeat (TPR)-like superfamily protein(AT2G47440)",819357
"13","AT1G06520","GPAT1","glycerol-3-phosphate acyltransferase 1(GPAT1)",837163
"14","AT3G13720","PRA1F3","PRA1 (Prenylated rab acceptor) family protein(PRA8)",820581
"15","AT4G36780","BEH2","BES1/BZR1 homolog 2(BEH2)",829831
"16","AT3G14610","CYP72A7","cytochrome P450, family 72, subfamily A, polypeptide 7(CYP72A7)",820689
"17","AT3G60200","AT3G60200","hypothetical protein(AT3G60200)",825190
"18","AT1G03870","FLA9","FASCICLIN-like arabinoogalactan 9(FLA9)",839384
"19","AT3G51550","FER","Malectin/receptor-like protein kinase family protein(FER)",824318
"20","AT1G74790","HIPL1","catalytics(AT1G74790)",843818
"21","AT1G32090","AT1G32090","early-responsive to dehydration stress protein (ERD4)(AT1G32090)",840101
"22","AT2G30930","AT2G30930","hypothetical protein(AT2G30930)",817644
"23","AT3G57070","AT3G57070","Glutaredoxin family protein(AT3G57070)",824874
"24","AT3G62720","XXT1","xylosyltransferase 1(XT1)",825446
"25","AT1G21910","ERF012","Integrase-type DNA-binding superfamily protein(DREB26)",838793
"26","AT3G52450","PUB22","plant U-box 22(PUB22)",824410
"27","AT1G76070","AT1G76070","hypothetical protein(AT1G76070)",843939
"28","AT3G54990","SMZ","Integrase-type DNA-binding superfamily protein(SMZ)",824664
"29","AT5G43760","KCS19","3-ketoacyl-CoA synthase 20(KCS20)",834398
"30","AT1G22530","PATL2","PATELLIN 2(PATL2)",838859
"31","AT3G23750","AT3G23750","Leucine-rich repeat protein kinase family protein(AT3G23750)",821957
"32","AT4G00150","SCL6","GRAS family transcription factor(HAM3)",828208
"33","AT5G56040","AT5G56040","Leucine-rich receptor-like protein kinase family protein(AT5G56040)",835702
"34","AT4G15800","RALFL33","ralf-like 33(RALFL33)",827260
"35","AT1G05850","CTL1","Chitinase family protein(POM1)",837095
"36","AT5G55530","AT5G55530","Calcium-dependent lipid-binding (CaLB domain) family protein(AT5G55530)",835647
"37","AT1G35140","EXL1","Phosphate-responsive 1 family protein(PHI-1)",840399
"38","AT4G39070","BBX20","B-box zinc finger family protein(BZS1)",830062
"39","AT2G37970","SOUL-1","SOUL heme-binding family protein(SOUL-1)",818374
"40","AT5G05410","DREB2A","DRE-binding protein 2A(DREB2A)",830424
"41","AT5G57560","XTH22","Xyloglucan endotransglucosylase/hydrolase family protein(TCH4)",835860
"42","AT1G22190","RAP2-13","Integrase-type DNA-binding superfamily protein(AT1G22190)",838824
"43","AT3G43430","AT3G43430","RING/U-box superfamily protein(AT3G43430)",823423
