"","gene","symbol","Description","Entrez"
"1","AT1G60095","JAL16","Mannose-binding lectin superfamily protein(AT1G60095)",842305
"2","AT4G15393","CYP702A5","cytochrome P450, family 702, subfamily A, polypeptide 5(CYP702A5)",827206
"3","AT1G03340","AT1G03340","hypothetical protein(AT1G03340)",839525
"4","AT1G19330","AT1G19330","histone deacetylase complex subunit(AT1G19330)",838515
"5","AT2G41340","NRPD5B","RNA polymerase II fifth largest subunit, D(RPB5D)",818732
"6","AT3G22760","TCX3","Tesmin/TSO1-like CXC domain-containing protein(SOL1)",821847
"7","AT5G64770","RGF9","root meristem growth factor(RGF9)",836598
"8","AT4G22520","AT4G22520","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G22520)",828347
"9","AT5G27890","AT5G27890","hypothetical protein(AT5G27890)",832853
"10","AT5G41410","BEL1","POX (plant homeobox) family protein(BEL1)",834143
"11","AT5G47500","PME68","Pectin lyase-like superfamily protein(PME5)",834800
"12","AT1G22710","SUC2","sucrose-proton symporter 2(SUC2)",838877
"13","AT1G55010","PDF1.5","plant defensin 1.5(PDF1.5)",841943
"14","AT4G03205","CPX2","Coproporphyrinogen III oxidase(hemf2)",828029
"15","AT5G50160","FRO8","ferric reduction oxidase 8(FRO8)",835081
"16","AT1G71050","HIPP20","Heavy metal transport/detoxification superfamily protein(HIPP20)",843445
"17","AT3G05727","AT3G05727","S locus-related glycoprotein 1 (SLR1) binding pollen coat protein family(AT3G05727)",3768785
"18","AT3G10870","MES17","methyl esterase 17(MES17)",820257
"19","AT2G43010","PIF4","phytochrome interacting factor 4(PIF4)",818903
"20","AT5G54190","PORA","protochlorophyllide oxidoreductase A(PORA)",835507
"21","AT1G71280","RH55","DEA(D/H)-box RNA helicase family protein(AT1G71280)",843469
"22","AT4G01430","AT4G01430","nodulin MtN21 /EamA-like transporter family protein(UMAMIT29)",826685
"23","AT4G30140","CDEF1","GDSL-like Lipase/Acylhydrolase superfamily protein(CDEF1)",829137
"24","AT5G25980","TGG2","glucoside glucohydrolase 2(TGG2)",832667
"25","AT1G35290","AT1G35290","Thioesterase superfamily protein(AT1G35290)",840418
"26","AT4G14270","CID2","polyadenylate-binding protein interacting protein(AT4G14270)",827068
"27","AT5G39860","PRE1","basic helix-loop-helix (bHLH) DNA-binding family protein(PRE1)",833982
"28","AT1G35310","MLP168","MLP-like protein 168(MLP168)",840420
"29","AT2G30424","TCL2","Homeodomain-like superfamily protein(TCL2)",6240858
"30","AT5G43150","AT5G43150","elongation factor(AT5G43150)",834332
"31","AT1G80080","TMM","Leucine-rich repeat (LRR) family protein(TMM)",844348
"32","AT5G46690","BHLH71","beta HLH protein 71(bHLH071)",834712
"33","AT2G45600","CXE8","alpha/beta-Hydrolases superfamily protein(AT2G45600)",819168
"34","AT5G64860","DPE1","disproportionating enzyme(DPE1)",836609
"35","AT2G43530","ATTI3","scorpion toxin-like knottin superfamily protein(AT2G43530)",818954
"36","AT3G60520","AT3G60520","zinc ion-binding protein(AT3G60520)",825223
"37","AT1G13920","AT1G13920","Remorin family protein(AT1G13920)",837952
"38","AT3G02610","S-ACP-DES2","plant stearoyl-acyl-carrier desaturase family protein(AT3G02610)",820709
"39","AT3G14760","AT3G14760","transmembrane protein(AT3G14760)",820704
"40","AT2G29310","AT2G29310","NAD(P)-binding Rossmann-fold superfamily protein(AT2G29310)",817480
"41","AT5G02760","AT5G02760","Protein phosphatase 2C family protein(AT5G02760)",831234
"42","AT1G49860","GSTF14","glutathione S-transferase (class phi) 14(GSTF14)",841409
"43","AT5G18010","SAUR19","SAUR-like auxin-responsive protein family(SAUR19)",831668
"44","AT3G53100","AT3G53100","GDSL-like Lipase/Acylhydrolase superfamily protein(AT3G53100)",824476
