"","gene","symbol","Description","Entrez"
"1","AT3G60330","AHA7","H[+]-ATPase 7(HA7)",825204
"2","AT4G34580","SFH1","Sec14p-like phosphatidylinositol transfer family protein(COW1)",829610
"3","AT1G49450","AT1G49450","Transducin/WD40 repeat-like superfamily protein(AT1G49450)",841369
"4","AT5G11440","CID5","CTC-interacting domain 5(CID5)",831015
"5","AT5G36150","PEN3","putative pentacyclic triterpene synthase 3(PEN3)",833612
"6","AT1G02335","GL22","germin-like protein subfamily 2 member 2 precursor(GL22)",3766642
"7","AT3G20460","AT3G20460","Major facilitator superfamily protein(AT3G20460)",821591
"8","AT3G09680","RPS23A","Ribosomal protein S12/S23 family protein(AT3G09680)",820125
"9","AT4G15380","CYP705A4","cytochrome P450, family 705, subfamily A, polypeptide 4(CYP705A4)",827204
"10","AT3G17600","IAA31","indole-3-acetic acid inducible 31(IAA31)",821026
"11","AT4G08620","SULTR1","sulfate transporter 1;1(SULTR1;1)",826426
"12","AT3G10470","AT3G10470","C2H2-type zinc finger family protein(AT3G10470)",820211
"13","AT3G28420","AT3G28420","Putative membrane lipoprotein(AT3G28420)",822472
"14","AT5G63270","AT5G63270","RPM1-interacting protein 4 (RIN4) family protein(AT5G63270)",836447
"15","AT4G34420","AT4G34420","P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT4G34420)",829593
"16","AT3G14740","AT3G14740","RING/FYVE/PHD zinc finger superfamily protein(AT3G14740)",820702
"17","AT2G15370","FUT5","fucosyltransferase 5(FUT5)",816029
"18","AT2G47650","UXS4","UDP-xylose synthase 4(UXS4)",819378
"19","AT5G66420","AT5G66420","TIM-barrel signal transduction protein(AT5G66420)",836774
"20","AT1G05210","AT1G05210","Transmembrane protein 97, Putative(AT1G05210)",839261
"21","AT4G16610","AT4G16610","C2H2-like zinc finger protein(AT4G16610)",827362
"22","AT2G26040","PYL2","PYR1-like 2(PYL2)",817145
"23","AT5G06250","AT5G06250","AP2/B3-like transcriptional factor family protein(DPA4)",830512
"24","AT1G09090","RBOHB","respiratory burst oxidase-like protein(RBOHB)",837430
"25","AT5G01881","AT5G01881","transmembrane protein(AT5G01881)",3770616
"26","AT3G46990","AT3G46990","DUF740 family protein, putative (DUF740)(AT3G46990)",823852
"27","AT3G17840","RLK902","receptor-like kinase 902(RLK902)",821053
"28","AT5G10920","T30N20_190","L-Aspartase-like family protein(AT5G10920)",830959
"29","AT1G80370","CYCA2-4","Cyclin A2;4(CYCA2;4)",844377
"30","AT5G55820","AT5G55820","inner centromere protein, ARK-binding region protein(WYR)",835676
"31","AT3G20260","AT3G20260","DUF1666 family protein (DUF1666)(AT3G20260)",821570
"32","AT4G26760","MAP65-2","microtubule-associated protein 65-2(MAP65-2)",828783
"33","AT1G16780","VHP2","Inorganic H pyrophosphatase family protein(VHP2;2)",838249
"34","AT1G59960","AT1G59960","NAD(P)-linked oxidoreductase superfamily protein(AT1G59960)",842290
"35","AT1G05640","AT1G05640","Ankyrin repeat family protein(AT1G05640)",837070
"36","AT2G01880","PAP7","purple acid phosphatase 7(PAP7)",814719
"37","AT2G29750","UGT71C1","UDP-glucosyl transferase 71C1(UGT71C1)",817525
"38","AT4G18640","MRH1","Leucine-rich repeat protein kinase family protein(MRH1)",827598
"39","AT5G44030","CESA4","cellulose synthase A4(CESA4)",834426
"40","AT3G45680","NPF2.3","Major facilitator superfamily protein(AT3G45680)",823710
"41","AT5G12870","MYB46","myb domain protein 46(MYB46)",831127
"42","AT3G05690","NFYA2","nuclear factor Y, subunit A2(NF-YA2)",819738
"43","AT1G51770","AT1G51770","Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT1G51770)",841603
"44","AT5G40980","AT5G40980","AT.I.24-6 protein, putative (DUF 3339)(AT5G40980)",834100
"45","AT1G18870","ICS2","isochorismate synthase 2(ICS2)",838468
"46","AT3G21230","4CL4","4-coumarate:CoA ligase 5(4CL5)",821677
"47","AT4G29920","AT4G29920","Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein(AT4G29920)",829115
"48","AT1G50060","AT1G50060","CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein(AT1G50060)",841430
"49","AT4G11230","RBOHI","Riboflavin synthase-like superfamily protein(AT4G11230)",826725
"50","AT3G45080","SOT6","P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G45080)",823643
"51","AT1G20850","XCP2","xylem cysteine peptidase 2(XCP2)",838677
"52","AT5G37180","SUS5","sucrose synthase 5(SUS5)",833692
"53","AT2G30380","AT2G30380","MYB family transcription factor(AT2G30380)",28718318
"54","AT1G53060","AT1G53060","Legume lectin family protein(AT1G53060)",841740
"55","AT2G04570","AT2G04570","GDSL-like Lipase/Acylhydrolase superfamily protein(AT2G04570)",814999
"56","AT1G14750","SDS","Cyclin family protein(SDS)",838040
"57","AT5G60020","LAC17","laccase 17(LAC17)",836124
"58","AT5G52910","ATIM","timeless family protein(ATIM)",835368
"59","AT3G21950","AT3G21950","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT3G21950)",821753
"60","AT5G51890","PER66","Peroxidase superfamily protein(AT5G51890)",835264
"61","AT5G03170","FLA11","FASCICLIN-like arabinogalactan-protein 11(FLA11)",831914
"62","AT4G12910","SCPL20","serine carboxypeptidase-like 20(scpl20)",826903
"63","AT3G57780","AT3G57780","nucleolar-like protein(AT3G57780)",824947
"64","AT3G61650","TUBG1","gamma-tubulin(TUBG1)",825338
"65","AT5G67210","IRX15-L","IRREGULAR XYLEM protein (DUF579)(IRX15-L)",836856
"66","AT1G52400","BGLU18","beta glucosidase 18(BGLU18)",841670
"67","AT4G21960","PER42","Peroxidase superfamily protein(PRXR1)",828285
"68","AT3G06320","AT3G06320","Ribosomal protein L33 family protein(AT3G06320)",819806
"69","AT3G48440","AT3G48440","Zinc finger C-x8-C-x5-C-x3-H type family protein(AT3G48440)",824003
"70","AT2G43800","FH2","Actin-binding FH2 (formin homology 2) family protein(AT2G43800)",818984
"71","AT3G51740","IMK2","inflorescence meristem receptor-like kinase 2(IMK2)",824337
"72","AT3G27360","HTR2","Histone superfamily protein(AT3G27360)",822357
"73","AT2G28950","EXPA6","expansin A6(EXPA6)",817444
"74","AT5G45670","AT5G45670","GDSL-like Lipase/Acylhydrolase superfamily protein(AT5G45670)",834606
"75","AT1G15000","SCPL50","serine carboxypeptidase-like 50(scpl50)",838065
"76","AT2G26180","IQD6","IQ-domain 6(IQD6)",817158
"77","AT2G34190","NAT2","Xanthine/uracil permease family protein(AT2G34190)",817980
"78","AT4G25600","P4H12","Oxoglutarate/iron-dependent oxygenase(AT4G25600)",828665
"79","AT3G54710","CDT1B","CDT1-like protein B(CDT1B)",824636
"80","AT3G01710","AT3G01710","TPX2 (targeting protein for Xklp2) protein family(AT3G01710)",821092
"81","AT2G45900","AT2G45900","Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-like protein(TRM13)",819198
"82","AT1G08560","KN","syntaxin of plants 111(SYP111)",837378
"83","AT5G55520","AT5G55520","kinesin-like protein(AT5G55520)",835646
"84","AT5G23940","DCR","HXXXD-type acyl-transferase family protein(PEL3)",832459
"85","AT1G18370","NACK1","ATP binding microtubule motor family protein(HIK)",838418
"86","AT4G05520","EHD2","EPS15 homology domain 2(EHD2)",825902
"87","AT5G66230","AT5G66230","Chalcone-flavanone isomerase family protein(AT5G66230)",836755
"88","AT2G25060","ENODL14","early nodulin-like protein 14(ENODL14)",817044
"89","AT5G67270","EB1C","end binding protein 1C(EB1C)",836862
"90","AT1G02800","CEL2","cellulase 2(CEL2)",839385
"91","AT4G17000","AT4G17000","neurofilament heavy protein(AT4G17000)",827408
"92","AT4G21590","ENDO3","endonuclease 3(ENDO3)",828245
"93","AT1G08160","AT1G08160","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT1G08160)",837337
"94","AT1G10780","AT1G10780","F-box/RNI-like superfamily protein(AT1G10780)",837621
"95","AT2G40205","RPL41E","Ribosomal protein L41 family(AT2G40205)",818612
"96","AT2G38620","CDKB1-2","cyclin-dependent kinase B1;2(CDKB1;2)",818444
"97","AT1G32930","B3GALT6","Galactosyltransferase family protein(AT1G32930)",840187
"98","AT3G07540","FH10","Actin-binding FH2 (formin homology 2) family protein(AT3G07540)",819943
"99","AT2G47680","AT2G47680","zinc finger (CCCH type) helicase family protein(AT2G47680)",819381
"100","AT1G31230","AKHSDH1","aspartate kinase-homoserine dehydrogenase i(AK-HSDH I)",840011
"101","AT5G54670","ATK3","kinesin 3(ATK3)",835556
