"","gene","symbol","Description","Entrez"
"1","AT1G75440","UBC16","ubiquitin-conjugating enzyme 16(UBC16)",843880
"2","AT5G15870","AT5G15870","glycosyl hydrolase family 81 protein(AT5G15870)",831444
"3","AT1G72175","AT1G72175","E3 ubiquitin-protein ligase RNF170-like protein (DUF 1232)(AT1G72175)",843549
"4","AT5G11680","AT5G11680","classical AGP protein(AT5G11680)",831040
"5","AT3G29575","AFP3","ABI five binding protein 3(AFP3)",822619
"6","AT4G39670","AT4G39670","Glycolipid transfer protein (GLTP) family protein(AT4G39670)",830121
"7","AT4G23320","CRK24","cysteine-rich RLK (RECEPTOR-like protein kinase) 24(CRK24)",828431
"8","AT2G36026","AT2G36026","Ovate family protein(AT2G36026)",6241209
"9","AT2G18550","ATHB-21","homeobox protein 21(HB21)",816370
"10","AT5G64170","AT5G64170","dentin sialophosphoprotein-like protein(AT5G64170)",836538
"11","AT5G66640","DAR3","DA1-related protein 3(DAR3)",836796
"12","AT5G50200","NRT3.1","nitrate transmembrane transporter(WR3)",835085
"13","AT2G05100","LHCB2.1","photosystem II light harvesting complex protein 2.1(LHCB2.1)",815058
"14","AT4G27310","AT4G27310","B-box type zinc finger family protein(BBX28)",828839
"15","AT1G09080","MED37B","Heat shock protein 70 (Hsp 70) family protein(BIP3)",837429
"16","AT1G18570","MYB51","myb domain protein 51(MYB51)",838438
"17","AT4G21980","ATG8A","Ubiquitin-like superfamily protein(APG8A)",828287
"18","AT5G13800","PPH","pheophytinase(PPH)",831225
"19","AT3G09830","AT3G09830","Protein kinase superfamily protein(AT3G09830)",820141
"20","AT3G60540","AT3G60540","Preprotein translocase Sec, Sec61-beta subunit protein(AT3G60540)",825225
"21","AT3G53830","AT3G53830","Regulator of chromosome condensation (RCC1) family protein(AT3G53830)",824550
"22","AT3G12320","T2E22.34","hypothetical protein(AT3G12320)",820411
"23","AT5G43440","AT5G43440","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT5G43440)",834364
"24","AT1G79680","WAKL10","WALL ASSOCIATED KINASE (WAK)-LIKE 10(WAKL10)",844307
"25","AT3G51890","AT3G51890","Clathrin light chain protein(AT3G51890)",824352
"26","AT5G18130","AT5G18130","transmembrane protein(AT5G18130)",831931
"27","AT1G30755","AT1G30755","elongation factor G, putative (DUF668)(AT1G30755)",839956
"28","AT3G03870","AT3G03870","transmembrane protein(AT3G03870)",821099
"29","AT3G26180","CYP71B20","cytochrome P450, family 71, subfamily B, polypeptide 20(CYP71B20)",822219
"30","AT4G27740","AT4G27740","Yippee family putative zinc-binding protein(AT4G27740)",828888
"31","AT3G26230","CYP71B24","cytochrome P450, family 71, subfamily B, polypeptide 24(CYP71B24)",822224
"32","AT4G32940","GAMMA-VPE","gamma vacuolar processing enzyme(GAMMA-VPE)",829431
"33","AT4G13900","AtRLP49","miscRNA(RLP49)",3770199
"34","AT3G08870","LECRK61","Concanavalin A-like lectin protein kinase family protein(AT3G08870)",820035
"35","AT5G25250","FLOT1","SPFH/Band 7/PHB domain-containing membrane-associated protein family(FLOT1)",832596
"36","AT1G49050","AT1G49050","Eukaryotic aspartyl protease family protein(AT1G49050)",841328
"37","AT4G33050","EDA39","calmodulin-binding family protein(EDA39)",829442
"38","AT4G18250","AT4G18250","receptor Serine/Threonine kinase-like protein(AT4G18250)",827551
"39","AT2G31880","SOBIR1","Leucine-rich repeat protein kinase family protein(SOBIR1)",817746
"40","AT3G47480","CML47","Calcium-binding EF-hand family protein(AT3G47480)",823902
"41","AT2G13790","SERK4","somatic embryogenesis receptor-like kinase 4(SERK4)",815862
"42","AT3G28540","AT3G28540","P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G28540)",822484
"43","AT4G21380","SD18","receptor kinase 3(RK3)",827890
"44","AT4G26090","RPS2","NB-ARC domain-containing disease resistance protein(RPS2)",828715
"45","AT5G18780","AT5G18780","F-box/RNI-like superfamily protein(AT5G18780)",831996
"46","AT4G14630","GLP9","germin-like protein 9(GLP9)",827113
"47","AT5G44990","AT5G44990","Glutathione S-transferase family protein(AT5G44990)",834530
"48","AT1G53625","AT1G53625","hypothetical protein(AT1G53625)",841798
"49","AT5G39120","AT5G39120","RmlC-like cupins superfamily protein(AT5G39120)",833905
"50","AT5G45000","AT5G45000","Disease resistance protein (TIR-NBS-LRR class) family(AT5G45000)",834531
"51","AT4G23610","AT4G23610","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT4G23610)",828461
"52","AT4G40020","AT4G40020","Myosin heavy chain-related protein(AT4G40020)",830163
"53","AT1G49000","AT1G49000","transmembrane protein(AT1G49000)",841322
"54","AT4G23170","CRK9","receptor-like protein kinase-related family protein(EP1)",828416
"55","AT3G50770","CML41","calmodulin-like 41(CML41)",824241
"56","AT4G23130","CRK5","cysteine-rich RLK (RECEPTOR-like protein kinase) 5(CRK5)",828412
"57","AT1G02230","NAC004","NAC domain containing protein 4(NAC004)",837630
"58","AT2G25510","AT2G25510","transmembrane protein(AT2G25510)",817089
"59","AT5G54610","ANK","ankyrin(ANK)",835550
"60","AT4G04510","CRK38","cysteine-rich RLK (RECEPTOR-like protein kinase) 38(CRK38)",825781
"61","AT5G24200","AT5G24200","alpha/beta-Hydrolases superfamily protein(AT5G24200)",832487
"62","AT3G22231","PCC1","pathogen and circadian controlled 1(PCC1)",821788
"63","AT4G14400","ACD6","ankyrin repeat family protein(ACD6)",827085
