"","gene","symbol","Description","Entrez"
"1","AT2G43620","AT2G43620","Chitinase family protein(AT2G43620)",818964
"2","AT5G27845","AT5G27845","hypothetical protein(AT5G27845)",3770752
"3","AT1G76650","CML38","calmodulin-like 38(CML38)",843998
"4","AT4G01360","AT4G01360","BPS1-like protein(BPS3)",827971
"5","AT3G04640","AT3G04640","glycine-rich protein(AT3G04640)",819622
"6","AT1G27730","ZAT10","salt tolerance zinc finger(STZ)",839666
"7","AT4G13395","DVL10","ROTUNDIFOLIA like 12(RTFL12)",5008138
"8","AT1G68290","ENDO2","endonuclease 2(ENDO2)",843158
"9","AT5G38240","AT5G38240","Protein kinase family protein(AT5G38240)",833806
"10","AT4G21926","AT4G21926","hypothetical protein(AT4G21926)",6240612
"11","AT4G39650","GGT2","gamma-glutamyl transpeptidase 2(GGT2)",830119
"12","AT1G68150","WRKY9","WRKY DNA-binding protein 9(WRKY9)",843143
"13","AT4G18425","AT4G18425","transmembrane protein, putative (DUF679)(AT4G18425)",827573
"14","AT5G49290","ATRLP56","receptor like protein 56(RLP56)",834989
"15","AT4G39410","WRKY13","WRKY DNA-binding protein 13(WRKY13)",830096
"16","AT5G12340","AT5G12340","DUF4228 domain protein(AT5G12340)",831109
"17","AT5G57510","AT5G57510","cotton fiber protein(AT5G57510)",835855
"18","AT1G69920","GSTU12","glutathione S-transferase TAU 12(GSTU12)",843328
"19","AT1G69930","GSTU11","glutathione S-transferase TAU 11(GSTU11)",843329
"20","AT2G31420","AT2G31420","B3 domain protein (DUF313)(AT2G31420)",817700
"21","AT3G19615","AT3G19615","beta-1,4-xylosidase(AT3G19615)",5008014
"22","AT2G45570","CYP76C2","cytochrome P450, family 76, subfamily C, polypeptide 2(CYP76C2)",819165
"23","AT3G55090","ABCG16","ABC-2 type transporter family protein(ABCG16)",824675
"24","AT5G13080","WRKY75","WRKY DNA-binding protein 75(WRKY75)",831147
"25","AT1G06050","AT1G06050","ENHANCED DISEASE RESISTANCE-like protein (DUF1336)(AT1G06050)",837114
"26","AT2G03360","AT2G03360","Glycosyltransferase family 61 protein(AT2G03360)",814865
