"","gene","symbol","Description","Entrez"
"1","AT2G04032","ZIP7","zinc transporter 7 precursor(ZIP7)",814931
"2","AT3G01960","AT3G01960","hypothetical protein(AT3G01960)",821109
"3","AT4G40000","AT4G40000","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G40000)",830161
"4","AT2G31270","CDT1A","CDT1-like protein A(CDT1A)",817684
"5","AT5G04160","AT5G04160","Nucleotide-sugar transporter family protein(AT5G04160)",830294
"6","AT1G01570","AT1G01570","transferring glycosyl group transferase (DUF604)(AT1G01570)",837183
"7","AT5G46280","MCM3","Minichromosome maintenance (MCM2/3/5) family protein(MCM3)",834670
"8","AT1G25425","CLE43","CLAVATA3/ESR-RELATED 43(CLE43)",28717267
"9","AT1G07370","PCNA","proliferating cellular nuclear antigen 1(PCNA1)",837249
"10","AT3G53750","ACT3","actin 3(ACT3)",824542
"11","AT2G20980","MCM10","minichromosome maintenance 10(MCM10)",816632
"12","AT4G31590","CSLC5","Cellulose-synthase-like C5(CSLC5)",829286
"13","AT2G29200","APUM1","pumilio 1(PUM1)",817469
"14","AT2G35120","GDH2","Single hybrid motif superfamily protein(AT2G35120)",818078
"15","AT4G34200","PGDH1","D-3-phosphoglycerate dehydrogenase(EDA9)",829568
"16","AT1G80270","PPR596","PENTATRICOPEPTIDE REPEAT 596(PPR596)",844367
"17","AT2G04780","FLA7","FASCICLIN-like arabinoogalactan 7(FLA7)",815021
"18","AT5G65810","AT5G65810","transmembrane protein(CGR3)",836710
"19","AT1G73590","PIN1","Auxin efflux carrier family protein(PIN1)",843693
"20","AT3G21540","AT3G21540","transducin family protein / WD-40 repeat family protein(AT3G21540)",821708
"21","AT3G22310","RH9","putative mitochondrial RNA helicase 1(PMH1)",821800
"22","AT4G25630","MED36A","fibrillarin 2(FIB2)",828668
"23","AT4G40090","AGP3","arabinogalactan protein 3(AGP3)",830172
"24","AT5G01280","AT5G01280","GPI-anchored protein(AT5G01280)",831711
"25","AT2G04170","AT2G04170","TRAF-like family protein(AT2G04170)",814954
"26","AT4G08410","AT4G08410","Proline-rich extensin-like family protein(AT4G08410)",826400
"27","AT5G06630","AT5G06630","proline-rich extensin-like family protein(AT5G06630)",830551
"28","AT1G49570","PER10","Peroxidase superfamily protein(AT1G49570)",841381
"29","AT5G36260","AT5G36260","Eukaryotic aspartyl protease family protein(AT5G36260)",833623
"30","AT2G37960","AT2G37960","myosin-M heavy protein(AT2G37960)",818373
"31","AT4G14940","ATAO1","amine oxidase 1(AO1)",827152
