"","gene","symbol","Description","Entrez"
"1","AT2G03420","AT2G03420","hypothetical protein(AT2G03420)",814871
"2","AT1G68500","AT1G68500","hypothetical protein(AT1G68500)",843179
"3","AT3G26200","CYP71B22","cytochrome P450, family 71, subfamily B, polypeptide 22(CYP71B22)",822221
"4","AT1G30280","AT1G30280","Chaperone DnaJ-domain superfamily protein(AT1G30280)",839908
"5","AT5G06270","AT5G06270","hypothetical protein(AT5G06270)",830515
"6","AT4G36570","ATRL3","RAD-like 3(RL3)",829809
"7","AT2G30540","GRXS9","Thioredoxin superfamily protein(AT2G30540)",817603
"8","AT5G12110","AT5G12110","elongation factor 1-beta 1(AT5G12110)",831084
"9","AT3G15030","TCP4","TCP family transcription factor 4(TCP4)",820732
"10","AT1G75240","ZHD5","homeobox protein 33(HB33)",843861
"11","AT4G30610","SCPL24","alpha/beta-Hydrolases superfamily protein(BRS1)",829184
"12","AT4G37225","AT4G37225","ncRNA(AT4G37225)",5008187
"13","AT3G26490","AT3G26490","Phototropic-responsive NPH3 family protein(AT3G26490)",822256
"14","AT5G19700","AT5G19700","MATE efflux family protein(AT5G19700)",832090
"15","AT3G16680","AT3G16680","DNA binding / DNA-directed RNA polymerase(AT3G16680)",820920
"16","AT3G21352","AT3G21352","transmembrane protein(AT3G21352)",5008018
"17","AT2G20180","PIF1","phytochrome interacting factor 3-like 5(PIL5)",816538
"18","AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2(PPC2)",818860
"19","AT2G41990","AT2G41990","late embryogenesis abundant protein(AT2G41990)",818799
"20","AT4G27520","ENODL2","early nodulin-like protein 2(ENODL2)",828861
"21","AT1G11710","AT1G11710","Pentatricopeptide repeat (PPR) superfamily protein(AT1G11710)",837715
"22","AT3G10840","AT3G10840","alpha/beta-Hydrolases superfamily protein(AT3G10840)",820253
"23","AT3G14330","PCMP-H57","Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G14330)",820653
"24","AT2G30010","TBL45","TRICHOME BIREFRINGENCE-LIKE 45(TBL45)",817552
"25","AT1G70940","PIN3","Auxin efflux carrier family protein(PIN3)",843432
"26","AT2G33310","IAA13","auxin-induced protein 13(IAA13)",817894
"27","AT1G29110","AT1G29110","Cysteine proteinases superfamily protein(AT1G29110)",839786
"28","AT4G35290","GLR3.2","glutamate receptor 2(GLUR2)",829682
"29","AT5G06790","AT5G06790","cotton fiber protein(AT5G06790)",830569
"30","AT5G56590","AT5G56590","O-Glycosyl hydrolases family 17 protein(AT5G56590)",835760
"31","AT2G37630","AS1","myb-like HTH transcriptional regulator family protein(AS1)",818340
"32","AT4G36260","SRS2","Lateral root primordium (LRP) protein-like protein(STY2)",829783
"33","AT1G48300","AT1G48300","diacylglycerol acyltransferase(DGAT3)",841250
"34","AT5G13140","AT5G13140","Pollen Ole e 1 allergen and extensin family protein(AT5G13140)",831153
"35","AT2G16800","AT2G16800","high-affinity nickel-transport family protein(AT2G16800)",816181
"36","AT5G54770","THI1","thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)(THI1)",835567
"37","AT3G23070","ATCFM3A","CRM family member 3A(CFM3A)",821881
"38","AT4G18340","AT4G18340","Glycosyl hydrolase superfamily protein(AT4G18340)",827561
"39","AT5G11160","APT5","adenine phosphoribosyltransferase 5(APT5)",830985
"40","ATCG00190","RPOB",NA,NA
"41","AT1G11540","AT1G11540","Sulfite exporter TauE/SafE family protein(AT1G11540)",837697
"42","AT5G03570","IREG2","iron regulated 2(IREG2)",831787
"43","AT2G07680","ATMRP11","multidrug resistance-associated protein 11(ABCC13)",815414
"44","AT3G28960","AT3G28960","Transmembrane amino acid transporter family protein(AT3G28960)",822536
"45","AT3G51350","AT3G51350","Eukaryotic aspartyl protease family protein(AT3G51350)",824298
"46","AT1G33440","NPF4.4","Major facilitator superfamily protein(AT1G33440)",840237
"47","AT3G28380","ABCB17","P-glycoprotein 17(ABCB17)",822467
"48","AT2G41550","AT2G41550","Rho termination factor(AT2G41550)",818753
"49","AT3G46490","AT3G46490","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT3G46490)",823802
"50","AT3G63240","AT3G63240","DNAse I-like superfamily protein(AT3G63240)",825499
"51","AT1G01030","NGA3","AP2/B3-like transcriptional factor family protein(NGA3)",839321
"52","AT2G30150","UGT87A1","UDP-Glycosyltransferase superfamily protein(AT2G30150)",817567
"53","AT1G71695","PER12","Peroxidase superfamily protein(AT1G71695)",843498
"54","AT3G26932","DRB3","dsRNA-binding protein 3(DRB3)",822310
"55","AT1G59750","ARF1","auxin response factor 1(ARF1)",842268
"56","AT3G46330","MEE39","Leucine-rich repeat protein kinase family protein(MEE39)",823778
"57","AT5G53900","AT5G53900","Serine/threonine-protein kinase WNK (With No Lysine)-like protein(AT5G53900)",835472
"58","AT1G51805","AT1G51805","Leucine-rich repeat protein kinase family protein(AT1G51805)",841607
"59","AT2G36792","AT2G36792","ncRNA(AT2G36792)",5007940
"60","AT1G11720","SS3","starch synthase 3(SS3)",837716
"61","AT3G62470","AT3G62470","Pentatricopeptide repeat (PPR) superfamily protein(AT3G62470)",825421
"62","AT1G27285","AT1G27285","hypothetical protein(AT1G27285)",3766803
"63","AT5G22640","TIC100","MORN (Membrane Occupation and Recognition Nexus) repeat-containing protein(emb1211)",832327
"64","AT2G21080","AT2G21080","Ras guanine nucleotide exchange factor K(AT2G21080)",816643
"65","AT4G33500","AT4G33500","Protein phosphatase 2C family protein(AT4G33500)",829488
"66","AT1G68940","PUB42","Armadillo/beta-catenin-like repeat family protein(AT1G68940)",843228
"67","AT5G17880","CSA1","disease resistance protein (TIR-NBS-LRR class)(CSA1)",831656
"68","AT1G26150","PERK10","proline-rich extensin-like receptor kinase 10(PERK10)",839156
"69","AT2G46070","MPK12","mitogen-activated protein kinase 12(MPK12)",819215
"70","AT1G70885","AT1G70885","miscRNA(AT1G70885)",3767686
