"","gene","symbol","Description","Entrez"
"1","AT1G03920","AT1G03920","Protein kinase family protein(AT1G03920)",839369
"2","AT2G39690","AT2G39690","ternary complex factor MIP1 leucine-zipper protein (Protein of unknown function, DUF547)(AT2G39690)",818552
"3","AT1G54330","ANAC020","NAC domain containing protein 20(NAC020)",841874
"4","AT1G35270","AT1G35270","miscRNA(AT1G35270)",3766936
"5","AT5G09500","RPS15C","Ribosomal protein S19 family protein(AT5G09500)",830809
"6","AT1G62981","AT1G62981","transmembrane protein, putative (DUF1191)(AT1G62981)",6240864
"7","AT4G21200","GA2OX8","gibberellin 2-oxidase 8(GA2OX8)",827868
"8","AT5G19890","PER59","Peroxidase superfamily protein(AT5G19890)",832111
"9","AT5G21120","EIL2","ETHYLENE-INSENSITIVE3-like 2(EIL2)",832237
"10","AT4G03610","AT4G03610","Metallo-hydrolase/oxidoreductase superfamily protein(AT4G03610)",825661
"11","AT5G06839","TGA10","bZIP transcription factor family protein(TGA10)",830575
"12","AT5G42580","CYP705A12","cytochrome P450, family 705, subfamily A, polypeptide 12(CYP705A12)",834265
"13","AT3G01760","AT3G01760","Transmembrane amino acid transporter family protein(AT3G01760)",821086
"14","AT5G48950","DHNAT2","Thioesterase superfamily protein(DHNAT2)",834953
"15","AT1G01920","AT1G01920","SET domain-containing protein(AT1G01920)",839313
"16","AT1G10380","AT1G10380","Putative membrane lipoprotein(AT1G10380)",837577
"17","AT4G16630","RH28","DEA(D/H)-box RNA helicase family protein(AT4G16630)",827364
"18","AT5G16690","ORC3","origin recognition complex subunit 3(ORC3)",831530
"19","AT2G22920","SCPL12","serine carboxypeptidase-like 12(SCPL12)",816823
"20","AT3G25560","NIK2","NSP-interacting kinase 2(NIK2)",822143
"21","AT3G18850","LPAT5","lysophosphatidyl acyltransferase 5(LPAT5)",821418
"22","AT1G58270","ZW9","TRAF-like family protein(ZW9)",842196
"23","AT5G63920","TOP3A","topoisomerase 3alpha(TOP3A)",836513
"24","AT3G43610","AT3G43610","Spc97 / Spc98 family of spindle pole body (SBP) component(AT3G43610)",823458
"25","AT1G71960","ABCG25","ATP-binding casette family G25(ABCG25)",843527
"26","AT3G20010","AT3G20010","SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein(AT3G20010)",821539
"27","AT1G20570","AT1G20570","Spc97 / Spc98 family of spindle pole body (SBP) component(AT1G20570)",838645
"28","AT1G23935","AT1G23935","apoptosis inhibitory protein(AT1G23935)",2745761
"29","AT4G33330","GUX2","plant glycogenin-like starch initiation protein 3(PGSIP3)",829469
"30","AT1G74500","PRE3","activation-tagged BRI1(brassinosteroid-insensitive 1)-suppressor 1(BS1)",843791
"31","AT2G40320","TBL33","TRICHOME BIREFRINGENCE-LIKE 33(TBL33)",818625
"32","AT3G23190","AT3G23190","HR-like lesion-inducing protein-like protein(AT3G23190)",821897
"33","AT3G63430","AT3G63430","zinc finger CCCH domain protein(TRM5)",825518
"34","AT4G29690","AT4G29690","Alkaline-phosphatase-like family protein(AT4G29690)",829090
"35","AT3G62760","GSTF13","Glutathione S-transferase family protein(ATGSTF13)",825451
"36","AT5G37800","BHLH86","RHD SIX-LIKE 1(RSL1)",833758
"37","AT3G27473","AT3G27473","Cysteine/Histidine-rich C1 domain family protein(AT3G27473)",822369
"38","AT5G52170","HDG7","homeodomain GLABROUS 7(HDG7)",835293
"39","AT1G73780","AT1G73780","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G73780)",28717421
"40","AT5G22940","F8H","glucuronoxylan glucuronosyltransferase, putative(F8H)",832358
"41","AT5G58520","AT5G58520","Protein kinase superfamily protein(AT5G58520)",835965
