"","gene","symbol","Description","Entrez"
"1","AT2G47190","ATMYB2","myb domain protein 2(MYB2)",819332
"2","AT2G19190","SIRK","FLG22-induced receptor-like kinase 1(FRK1)",816436
"3","AT4G11170","AT4G11170","Disease resistance protein (TIR-NBS-LRR class) family(AT4G11170)",826718
"4","AT2G41850","ADPG2","polygalacturonase ADPG2-like protein(PGAZAT)",818785
"5","AT5G63250","AT5G63250","Carbohydrate-binding X8 domain superfamily protein(AT5G63250)",836445
"6","AT5G43570","AT5G43570","Serine protease inhibitor, potato inhibitor I-type family protein(AT5G43570)",834377
"7","AT1G66040","ORTH4","Zinc finger (C3HC4-type RING finger) family protein(VIM4)",842917
"8","AT4G12490","AT4G12490","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G12490)",826861
"9","AT4G23215","AT4G23215","miscRNA(AT4G23215)",6241102
"10","AT2G46740","GULLO5","D-arabinono-1,4-lactone oxidase family protein(GulLO5)",819287
"11","AT4G12480","EARLI1","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(EARLI1)",826860
"12","AT1G30720","AT1G30720","FAD-binding Berberine family protein(AT1G30720)",839952
"13","AT2G17740","AT2G17740","Cysteine/Histidine-rich C1 domain family protein(AT2G17740)",816283
"14","AT4G26260","MIOX4","myo-inositol oxygenase 4(MIOX4)",828732
"15","AT4G15610","AT4G15610","Uncharacterized protein family (UPF0497)(AT4G15610)",827238
"16","AT3G60140","BGLU30","Glycosyl hydrolase superfamily protein(DIN2)",825184
"17","AT5G07080","AT5G07080","HXXXD-type acyl-transferase family protein(AT5G07080)",830599
"18","AT2G44380","AT2G44380","Cysteine/Histidine-rich C1 domain family protein(AT2G44380)",819045
"19","AT5G46040","NPF5.3","Major facilitator superfamily protein(AT5G46040)",834645
"20","AT1G51790","AT1G51790","Leucine-rich repeat protein kinase family protein(AT1G51790)",841605
"21","AT5G46050","NPF5.2","peptide transporter 3(PTR3)",834646
"22","AT1G33817","AT1G33817","hypothetical protein(AT1G33817)",3766904
"23","AT2G19803","AT2G19803","hypothetical protein(AT2G19803)",3768171
"24","AT1G22340","UGT85A7","UDP-glucosyl transferase 85A7(UGT85A7)",838841
"25","AT4G32212","AT4G32212","miscRNA(AT4G32212)",6240547
"26","AT1G15040","AT1G15040","Class I glutamine amidotransferase-like superfamily protein(GAT1_2.1)",838069
"27","AT5G65690","PCK2","phosphoenolpyruvate carboxykinase 2(PCK2)",836696
"28","AT3G45860","CRK4","cysteine-rich RLK (RECEPTOR-like protein kinase) 4(CRK4)",823729
"29","AT1G78720","AT1G78720","SecY protein transport family protein(AT1G78720)",844208
"30","AT3G28740","CYP81D11","Cytochrome P450 superfamily protein(CYP81D11)",822506
"31","AT1G17300","AT1G17300","hypothetical protein(AT1G17300)",838302
"32","AT2G32660","AtRLP22","receptor like protein 22(RLP22)",817826
"33","AT2G25450","GSL-OH","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT2G25450)",817083
"34","AT3G46700","UGT76E3","UDP-Glycosyltransferase superfamily protein(AT3G46700)",823823
"35","AT4G34131","UGT73B3","UDP-glucosyl transferase 73B3(UGT73B3)",829559
"36","AT1G53560","AT1G53560","Ribosomal protein L18ae family(AT1G53560)",841791
"37","AT2G29420","GSTU7","glutathione S-transferase tau 7(GSTU7)",817491
"38","AT1G32170","XTH30","xyloglucan endotransglucosylase/hydrolase 30(XTH30)",840109
"39","AT1G14860","NUDT18","nudix hydrolase homolog 18(NUDT18)",838051
"40","AT4G28040","AT4G28040","nodulin MtN21 /EamA-like transporter family protein(UMAMIT33)",828919
"41","AT1G21550","CML44","Calcium-binding EF-hand family protein(AT1G21550)",838756
"42","AT1G47510","AT5PTASE11","inositol polyphosphate 5-phosphatase 11(5PTASE11)",841160
"43","AT1G17310","AT1G17310","MADS-box transcription factor family protein(AT1G17310)",838303
"44","AT2G35070","AT2G35070","transmembrane protein(AT2G35070)",818072
"45","AT3G29370","AT3G29370","hypothetical protein(P1R3)",822596
"46","AT2G25460","AT2G25460","EEIG1/EHBP1 protein amino-terminal domain protein(AT2G25460)",817084
"47","AT3G22740","HMT3","homocysteine S-methyltransferase 3(HMT3)",821845
"48","AT5G04200","AMC9","metacaspase 9(MC9)",830299
"49","AT5G64510","TIN1","tunicamycin induced protein(TIN1)",836572
"50","AT1G65500","AT1G65500","transmembrane protein(AT1G65500)",842862
"51","AT2G18690","AT2G18690","transmembrane protein(AT2G18690)",816384
"52","AT3G56170","CAN1","Ca-2+ dependent nuclease(CAN)",824783
"53","AT4G20000","AT4G20000","VQ motif-containing protein(AT4G20000)",827745
"54","AT1G52890","NAC019","NAC domain containing protein 19(NAC019)",841722
"55","AT3G51920","CML9","calmodulin 9(CAM9)",824355
"56","AT1G11190","ENDO1","bifunctional nuclease i(BFN1)",837660
"57","AT1G26420","AT1G26420","FAD-binding Berberine family protein(AT1G26420)",839184
"58","AT2G30250","WRKY25","WRKY DNA-binding protein 25(WRKY25)",817575
"59","AT4G23190","CRK11","cysteine-rich RLK (RECEPTOR-like protein kinase) 11(CRK11)",828418
"60","AT5G24530","DMR6","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(DMR6)",832524
"61","AT1G20180","AT1G20180","transmembrane protein (DUF677)(AT1G20180)",838607
"62","AT4G08555","AT4G08555","hypothetical protein(AT4G08555)",826416
"63","AT3G46080","ZAT8","C2H2-type zinc finger family protein(AT3G46080)",823751
"64","AT1G56060","AT1G56060","cysteine-rich/transmembrane domain protein B(AT1G56060)",842057
"65","AT5G10695","AT5G10695","methionyl-tRNA synthetase(AT5G10695)",830934
"66","AT3G18250","AT3G18250","Putative membrane lipoprotein(AT3G18250)",821353
"67","AT3G22910","ACA13","ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein(AT3G22910)",821863
"68","AT5G25930","AT5G25930","kinase family with leucine-rich repeat domain-containing protein(AT5G25930)",832662
"69","AT1G33030","AT1G33030","O-methyltransferase family protein(AT1G33030)",840198
"70","AT3G54150","AT3G54150","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT3G54150)",824582
"71","AT1G66600","WRKY63","ABA overly sensitive mutant 3(ABO3)",842978
"72","AT4G35180","LHT7","LYS/HIS transporter 7(LHT7)",829671
"73","AT3G61390","PUB36","RING/U-box superfamily protein(AT3G61390)",825311
"74","AT1G33960","AIG1","P-loop containing nucleoside triphosphate hydrolases superfamily protein(AIG1)",840293
"75","AT5G25260","FLOT2","SPFH/Band 7/PHB domain-containing membrane-associated protein family(AT5G25260)",832597
"76","AT4G20390","AT4G20390","Uncharacterized protein family (UPF0497)(AT4G20390)",827787
"77","AT2G41190","AT2G41190","Transmembrane amino acid transporter family protein(AT2G41190)",818718
"78","AT1G42990","BZIP60","basic region/leucine zipper motif 60(BZIP60)",840897
"79","AT2G38250","GT-3B","Homeodomain-like superfamily protein(AT2G38250)",818404
"80","AT2G35700","ERF038","ERF family protein 38(ERF38)",818139
"81","AT1G65240","AT1G65240","Eukaryotic aspartyl protease family protein(AT1G65240)",842831
"82","AT1G05300","ZIP5","zinc transporter 5 precursor(ZIP5)",837029
"83","AT4G24026","AT4G24026","hypothetical protein(AT4G24026)",6240360
"84","AT4G35860","RABB1B","GTP-binding 2(GB2)",829740
"85","AT1G29860","WRKY71","WRKY DNA-binding protein 71(WRKY71)",839864
"86","AT2G04515","AT2G04515","transmembrane protein(AT2G04515)",814993
"87","AT5G02490","MED37D","Heat shock protein 70 (Hsp 70) family protein(Hsp70-2)",831856
"88","AT5G48657","AT5G48657","defense protein-like protein(AT5G48657)",2746202
"89","AT1G24150","ATFH4","formin homologue 4(FH4)",839028
"90","AT4G14370","AT4G14370","Disease resistance protein (TIR-NBS-LRR class) family(AT4G14370)",827081
"91","AT5G67340","PUB2","ARM repeat superfamily protein(AT5G67340)",836869
"92","AT1G19020","AT1G19020","CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase(AT1G19020)",838483
"93","AT1G14370","APK2A","protein kinase 2A(APK2A)",837999
"94","AT5G47120","BI-1","BAX inhibitor 1(BI1)",834758
"95","AT5G61390","NEN2","Polynucleotidyl transferase, ribonuclease H-like superfamily protein(AT5G61390)",836260
"96","AT3G50400","AT3G50400","GDSL-like Lipase/Acylhydrolase superfamily protein(AT3G50400)",824204
"97","AT5G11210","ATGLR2.5","glutamate receptor 2.5(GLR2.5)",830991
"98","AT1G02575","AT1G02575","transmembrane protein(AT1G02575)",10723100
"99","ATCG00020","PSBA",NA,NA
"100","AT4G23320","CRK24","cysteine-rich RLK (RECEPTOR-like protein kinase) 24(CRK24)",828431
