"","gene","symbol","Description","Entrez"
"1","AT4G24275","AT4G24275","hypothetical protein(AT4G24275)",828530
"2","AT2G44578","AT2G44578","RING/U-box superfamily protein(AT2G44578)",5007961
"3","AT4G25490","DREB1B","C-repeat/DRE binding factor 1(CBF1)",828653
"4","AT5G07130","LAC13","laccase 13(LAC13)",830604
"5","AT3G47810","VPS29","Calcineurin-like metallo-phosphoesterase superfamily protein(MAG1)",823935
"6","AT5G40370","GRXC2","Glutaredoxin family protein(GRXC2)",834035
"7","AT5G04750","AT5G04750","F1F0-ATPase inhibitor protein(AT5G04750)",830353
"8","AT5G07340","AT5G07340","Calreticulin family protein(AT5G07340)",830625
"9","AT3G20470","GRP-5","glycine-rich protein 5(GRP5)",3768804
"10","AT2G42680","MBF1A","multiprotein bridging factor 1A(MBF1A)",818868
"11","AT1G66240","ATX1","homolog of anti-oxidant 1(ATX1)",842940
"12","AT5G20010","RAN1","RAS-related nuclear protein-1(RAN-1)",832123
"13","AT3G14700","AT3G14700","SART-1 family(AT3G14700)",820698
"14","AT1G30475","AT1G30475","hypothetical protein(AT1G30475)",2745766
"15","AT3G10290","AT3G10290","Nucleotide-sugar transporter family protein(AT3G10290)",820191
"16","AT4G40042","AT4G40042","Microsomal signal peptidase 12 kDa subunit (SPC12)(AT4G40042)",830166
"17","AT4G21940","CPK15","calcium-dependent protein kinase 15(CPK15)",828283
"18","AT2G05840","PAA2","20S proteasome subunit PAA2(PAA2)",815135
"19","AT3G27250","AT3G27250","hypothetical protein(AT3G27250)",822344
"20","AT4G04470","PMP22","Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein(PMP22)",825777
"21","AT3G11410","PP2CA","protein phosphatase 2CA(PP2CA)",820314
"22","AT2G29070","AT2G29070","Ubiquitin fusion degradation UFD1 family protein(AT2G29070)",817455
"23","AT3G48510","AT3G48510","AtIII18x5-like protein(AT3G48510)",824010
"24","AT2G03230","AT2G03230","GCK domain-containing protein(AT2G03230)",814852
"25","AT2G22905","AT2G22905","Expressed protein(AT2G22905)",2745553
"26","AT2G37770","AKR4C9","NAD(P)-linked oxidoreductase superfamily protein(ChlAKR)",818354
"27","AT3G04220","AT3G04220","Disease resistance protein (TIR-NBS-LRR class) family(AT3G04220)",819577
"28","AT3G10880","AT3G10880","tropomyosin(AT3G10880)",820258
"29","AT1G51090","AT1G51090","Heavy metal transport/detoxification superfamily protein(AT1G51090)",841532
"30","AT1G60970","AT1G60970","SNARE-like superfamily protein(AT1G60970)",842388
"31","AT4G10960","UGE5","UDP-D-glucose/UDP-D-galactose 4-epimerase 5(UGE5)",826696
"32","AT3G48920","AtMYB45","myb domain protein 45(MYB45)",824053
"33","AT3G60450","AT3G60450","Phosphoglycerate mutase family protein(AT3G60450)",825216
"34","AT1G68765","IDA","Putative membrane lipoprotein(IDA)",843208
"35","AT2G32680","AtRLP23","receptor like protein 23(RLP23)",817828
"36","AT2G46270","GBF3","G-box binding factor 3(GBF3)",819235
"37","AT1G35210","AT1G35210","hypothetical protein(AT1G35210)",840410
"38","AT1G72910","AT1G72910","Toll-Interleukin-Resistance (TIR) domain-containing protein(AT1G72910)",843622
"39","AT5G42380","CML37","calmodulin like 37(CML37)",834244
"40","AT1G50400","TOM40-2","Eukaryotic porin family protein(AT1G50400)",841462
"41","AT5G22540","AT5G22540","transmembrane protein, putative (DUF247)(AT5G22540)",832315
"42","AT3G50930","BCS1","cytochrome BC1 synthesi(BCS1)",824257
"43","AT5G03210","AT5G03210","E3 ubiquitin-protein ligase(DIP2)",831903
"44","AT2G33580","LYK5","Protein kinase superfamily protein(LYK5)",817923
"45","AT1G43910","AT1G43910","P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G43910)",840990
"46","AT4G15955","AT4G15955","alpha/beta-Hydrolases superfamily protein(AT4G15955)",827278
