"","gene","symbol","Description","Entrez"
"1","AT4G15300","CYP702A2","cytochrome P450, family 702, subfamily A, polypeptide 2(CYP702A2)",827196
"2","AT2G38530","LTP2","lipid transfer protein 2(LTP2)",818435
"3","AT1G04680","AT1G04680","Pectin lyase-like superfamily protein(AT1G04680)",839452
"4","AT2G32430","B3GALT3","Galactosyltransferase family protein(AT2G32430)",817804
"5","AT1G53830","PME2","pectin methylesterase 2(PME2)",841820
"6","AT3G25290","AT3G25290","Auxin-responsive family protein(AT3G25290)",822123
"7","AT3G12700","AT3G12700","Eukaryotic aspartyl protease family protein(NANA)",820452
"8","AT3G08030","AT3G08030","DNA-directed RNA polymerase subunit beta (Protein of unknown function, DUF642)(AT3G08030)",819994
"9","AT4G02330","PME41","Plant invertase/pectin methylesterase inhibitor superfamily(ATPMEPCRB)",828064
"10","AT2G39350","ABCG1","ABC-2 type transporter family protein(ABCG1)",818520
"11","AT3G52780","PAP20","Purple acid phosphatases superfamily protein(PAP20)",824444
"12","AT1G24430","AT1G24430","HXXXD-type acyl-transferase family protein(AT1G24430)",839059
"13","AT1G74010","AT1G74010","Calcium-dependent phosphotriesterase superfamily protein(AT1G74010)",843739
"14","AT4G28940","AT4G28940","Phosphorylase superfamily protein(AT4G28940)",829015
"15","AT1G09794","AT1G09794","Cox19 family protein (CHCH motif)(AT1G09794)",10723123
"16","AT5G12930","AT5G12930","inactive rhomboid protein(AT5G12930)",831133
"17","AT3G12510","AT3G12510","MADS-box family protein(AT3G12510)",820430
"18","AT5G51830","AT5G51830","pfkB-like carbohydrate kinase family protein(AT5G51830)",835258
"19","AT4G11600","GPX6","glutathione peroxidase 6(GPX6)",826765
"20","AT5G56150","UBC30","ubiquitin-conjugating enzyme 30(UBC30)",835714
"21","AT2G47060","AT2G47060","Protein kinase superfamily protein(PTI1-4)",819320
"22","AT5G39730","AT5G39730","AIG2-like (avirulence induced gene) family protein(AT5G39730)",833969
"23","AT4G22530","AT4G22530","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G22530)",828348
"24","AT5G02420","SMR3","cyclin-dependent kinase inhibitor SMR3-like protein(AT5G02420)",831836
"25","AT1G02220","NAC003","NAC domain containing protein 3(NAC003)",839476
"26","AT1G15310","SRP-54A","signal recognition particle 54 kDa subunit(ATHSRP54A)",838100
"27","AT3G50900","AT3G50900","hypothetical protein(AT3G50900)",824254
"28","AT2G29090","CYP707A2","cytochrome P450, family 707, subfamily A, polypeptide 2(CYP707A2)",817457
"29","AT1G65840","PAO4","polyamine oxidase 4(PAO4)",842894
"30","AT3G17120","AT3G17120","transmembrane protein(AT3G17120)",820969
"31","AT5G51810","GA20OX2","gibberellin 20 oxidase 2(GA20OX2)",835256
"32","AT5G35525","PCR3","PLAC8 family protein(AT5G35525)",833517
"33","AT2G36210","AT2G36210","SAUR-like auxin-responsive protein family(AT2G36210)",818193
"34","AT4G30180","AT4G30180","hypothetical protein(AT4G30180)",829141
"35","AT2G42610","LSH10","LIGHT-DEPENDENT SHORT HYPOCOTYLS-like protein (DUF640)(LSH10)",818861
"36","AT4G24110","AT4G24110","NADP-specific glutamate dehydrogenase(AT4G24110)",828511
"37","AT3G08860","PYD4","PYRIMIDINE 4(PYD4)",820034
"38","AT1G02360","AT1G02360","Chitinase family protein(AT1G02360)",837724
"39","AT5G01640","PRA1B5","prenylated RAB acceptor 1.B5(PRA1.B5)",831708
"40","AT2G28500","LBD11","LOB domain-containing protein 11(LBD11)",817398
"41","AT3G54200","AT3G54200","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT3G54200)",824587
"42","AT1G19190","CXE1","alpha/beta-Hydrolases superfamily protein(AT1G19190)",838502
"43","AT2G44350","CSY4","Citrate synthase family protein(ATCS)",819042
"44","AT5G42280","AT5G42280","Cysteine/Histidine-rich C1 domain family protein(AT5G42280)",834233
"45","AT2G03680","SPR1","spiral1(SPR1)",814896
"46","AT4G37980","CAD7","cinnamyl alcohol dehydrogenase 7(ELI3-1)",829954
