"","gene","symbol","Description","Entrez"
"1","AT2G05100","LHCB2.1","photosystem II light harvesting complex protein 2.1(LHCB2.1)",815058
"2","AT4G27310","AT4G27310","B-box type zinc finger family protein(BBX28)",828839
"3","AT1G31173","MIR167D","ncRNA(MIR167d)",28717283
"4","AT3G53830","AT3G53830","Regulator of chromosome condensation (RCC1) family protein(AT3G53830)",824550
"5","AT4G26090","RPS2","NB-ARC domain-containing disease resistance protein(RPS2)",828715
"6","AT3G61198","AT3G61198","ncRNA(AT3G61198)",5008103
"7","AT3G54420","ATEP3","homolog of carrot EP3-3 chitinase(EP3)",824608
"8","AT5G02020","SIS","E3 ubiquitin-protein ligase RLIM-like protein(SIS)",831782
"9","AT4G39830","AT4G39830","Cupredoxin superfamily protein(AT4G39830)",830142
"10","AT1G13990","AT1G13990","plant/protein(AT1G13990)",837959
"11","AT1G78340","GSTU22","glutathione S-transferase TAU 22(GSTU22)",844169
"12","AT4G23280","CRK20","cysteine-rich RLK (RECEPTOR-like protein kinase) 20(CRK20)",828427
"13","AT1G79680","WAKL10","WALL ASSOCIATED KINASE (WAK)-LIKE 10(WAKL10)",844307
"14","AT1G51890","AT1G51890","Leucine-rich repeat protein kinase family protein(AT1G51890)",841616
"15","AT5G18130","AT5G18130","transmembrane protein(AT5G18130)",831931
"16","AT2G24600","AT2G24600","Ankyrin repeat family protein(AT2G24600)",816996
"17","AT4G14365","XBAT34","hypothetical protein(XBAT34)",827080
"18","AT4G27830","BGLU10","beta glucosidase 10(BGLU10)",828896
"19","AT3G55890","AT3G55890","Yippee family putative zinc-binding protein(AT3G55890)",824755
"20","AT3G45730","AT3G45730","hypothetical protein(AT3G45730)",823715
"21","AT4G11000","AT4G11000","Ankyrin repeat family protein(AT4G11000)",826701
"22","AT5G13205","AT5G13205","hypothetical protein(AT5G13205)",3770699
"23","AT4G38560","AT4G38560","phospholipase-like protein (PEARLI 4) family protein(AT4G38560)",830013
"24","AT1G74710","ICS1","ADC synthase superfamily protein(EDS16)",843810
"25","AT4G11890","CRK45","Protein kinase superfamily protein(ARCK1)",826796
"26","AT3G48640","AT3G48640","transmembrane protein(AT3G48640)",824024
"27","AT1G01680","PUB54","plant U-box 54(PUB54)",839251
"28","AT5G13320","GH3.12","Auxin-responsive GH3 family protein(PBS3)",831173
"29","AT2G20142","AT2G20142","Toll-Interleukin-Resistance (TIR) domain family protein(AT2G20142)",2745551
"30","AT3G21780","UGT71B6","UDP-glucosyl transferase 71B6(UGT71B6)",821732
"31","AT5G19240","AT5G19240","Glycoprotein membrane precursor GPI-anchored(AT5G19240)",832044
"32","AT1G67520","AT1G67520","lectin protein kinase family protein(AT1G67520)",843073
"33","AT4G23170","CRK9","receptor-like protein kinase-related family protein(EP1)",828416
"34","AT5G24200","AT5G24200","alpha/beta-Hydrolases superfamily protein(AT5G24200)",832487
"35","AT1G15415","AT1G15415","late embryogenesis abundant-like protein(AT1G15415)",838112
"36","AT2G40340","DREB2C","Integrase-type DNA-binding superfamily protein(DREB2C)",818627
"37","AT3G11840","PUB24","E3 ubiquitin-protein ligase PUB24-like protein(PUB24)",820357
"38","AT5G20830","SUS1","sucrose synthase 1(SUS1)",832206
"39","AT5G01820","CIPK14","serine/threonine protein kinase 1(SR1)",831765
"40","AT1G52880","NAC018","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein(NAM)",841721
"41","AT1G74650","ATY13","myb domain protein 31(MYB31)",843804
"42","AT3G51660","AT3G51660","Tautomerase/MIF superfamily protein(AT3G51660)",824329
"43","AT5G39150","AT5G39150","RmlC-like cupins superfamily protein(AT5G39150)",833908
"44","AT5G64170","AT5G64170","dentin sialophosphoprotein-like protein(AT5G64170)",836538
"45","AT5G66640","DAR3","DA1-related protein 3(DAR3)",836796
"46","AT3G09830","AT3G09830","Protein kinase superfamily protein(AT3G09830)",820141
"47","AT4G21980","ATG8A","Ubiquitin-like superfamily protein(APG8A)",828287
"48","AT5G47070","AT5G47070","Protein kinase superfamily protein(AT5G47070)",834753
"49","AT3G13432","AT3G13432","transmembrane protein(AT3G13432)",5007996
"50","AT5G12420","AT5G12420","O-acyltransferase (WSD1-like) family protein(AT5G12420)",831117
"51","AT5G45000","AT5G45000","Disease resistance protein (TIR-NBS-LRR class) family(AT5G45000)",834531
"52","AT4G23610","AT4G23610","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT4G23610)",828461
"53","AT4G40020","AT4G40020","Myosin heavy chain-related protein(AT4G40020)",830163
"54","AT4G14630","GLP9","germin-like protein 9(GLP9)",827113
"55","AT5G44990","AT5G44990","Glutathione S-transferase family protein(AT5G44990)",834530
"56","AT1G53625","AT1G53625","hypothetical protein(AT1G53625)",841798
"57","AT5G39120","AT5G39120","RmlC-like cupins superfamily protein(AT5G39120)",833905
"58","AT1G01560","MPK11","MAP kinase 11(MPK11)",839523
"59","AT2G37710","LECRK41","receptor lectin kinase(RLK)",818348
"60","AT1G13480","AT1G13480","hypothetical protein (DUF1262)(AT1G13480)",837908
"61","AT1G02230","NAC004","NAC domain containing protein 4(NAC004)",837630
"62","AT5G41750","AT5G41750","Disease resistance protein (TIR-NBS-LRR class) family(AT5G41750)",834178
"63","AT1G07000","ATEXO70B2","exocyst subunit exo70 family protein B2(EXO70B2)",837210
"64","AT1G13210","ALA11","autoinhibited Ca2+/ATPase II(ACA.l)",837881
"65","AT3G50770","CML41","calmodulin-like 41(CML41)",824241
