"","gene","symbol","Description","Entrez"
"1","AT5G65300","AT5G65300","hypothetical protein(AT5G65300)",836655
"2","AT1G66400","CML23","calmodulin like 23(CML23)",842958
"3","AT5G43620","PCFS5","Pre-mRNA cleavage complex II(AT5G43620)",834382
"4","AT1G10970","ZIP4","zinc transporter(ZIP4)",837640
"5","AT3G50610","AT3G50610","DNA-directed RNA polymerase II subunit RPB1-like protein(AT3G50610)",824224
"6","AT2G14247","AT2G14247","Expressed protein(AT2G14247)",2745524
"7","AT3G17130","AT3G17130","Plant invertase/pectin methylesterase inhibitor superfamily protein(AT3G17130)",820970
"8","AT4G27150","AT2S2","seed storage albumin 2(SESA2)",828823
"9","AT1G47400","AT1G47400","hypothetical protein(AT1G47400)",841144
"10","AT1G47395","AT1G47395","hypothetical protein(AT1G47395)",841143
"11","AT2G41240","BHLH100","basic helix-loop-helix protein 100(BHLH100)",818723
"12","AT2G30766","AT2G30766","hypothetical protein(AT2G30766)",6240993
"13","AT1G56430","NAS4","nicotianamine synthase 4(NAS4)",842096
"14","AT3G56970","ORG2","basic helix-loop-helix (bHLH) DNA-binding superfamily protein(bHLH38)",824864
"15","AT3G56980","ORG3","basic helix-loop-helix (bHLH) DNA-binding superfamily protein(bHLH39)",824865
"16","AT4G02700","SULTR3","sulfate transporter 3;2(SULTR3;2)",828201
"17","AT4G34710","SPE2","arginine decarboxylase 2(ADC2)",829623
"18","AT4G36010","AT4G36010","Pathogenesis-related thaumatin superfamily protein(AT4G36010)",829757
"19","AT5G13420","AT5G13420","Aldolase-type TIM barrel family protein(TRA2)",831183
"20","AT1G78970","LUP1","lupeol synthase 1(LUP1)",844237
"21","AT5G13490","AAC2","ADP/ATP carrier 2(AAC2)",831193
"22","AT1G69880","TRX8","thioredoxin H-type 8(TH8)",843324
"23","AT5G64310","AGP1","arabinogalactan protein 1(AGP1)",836552
"24","AT1G17745","PGDH2","D-3-phosphoglycerate dehydrogenase(PGDH)",838352
"25","AT5G10770","AT5G10770","Eukaryotic aspartyl protease family protein(AT5G10770)",830944
"26","AT3G12750","ZIP1","zinc transporter 1 precursor(ZIP1)",820457
"27","AT5G48070","XTH20","xyloglucan endotransglucosylase/hydrolase 20(XTH20)",834859
"28","AT5G54060","A3G2XYLT","UDP-glucose:flavonoid 3-o-glucosyltransferase(UF3GT)",835489
"29","AT5G17220","GSTF12","glutathione S-transferase phi 12(GSTF12)",831586
"30","AT4G14090","UGT75C1","UDP-Glycosyltransferase superfamily protein(AT4G14090)",827046
"31","AT4G21760","BGLU47","beta-glucosidase 47(BGLU47)",828264
"32","AT4G22880","LDOX","leucoanthocyanidin dioxygenase(LDOX)",828387
"33","AT5G42800","DFRA","dihydroflavonol 4-reductase(DFR)",834291
"34","AT2G27300","NTL8","NTM1-like 8(NTL8)",817273
"35","AT1G13609","AT1G13609","Defensin-like (DEFL) family protein(AT1G13609)",3766721
"36","AT1G20380","AT1G20380","Prolyl oligopeptidase family protein(AT1G20380)",838626
"37","AT2G43590","AT2G43590","Chitinase family protein(AT2G43590)",818961
"38","AT3G11180","AT3G11180","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT3G11180)",820289
"39","AT3G02480","AT3G02480","Late embryogenesis abundant protein (LEA) family protein(AT3G02480)",821185
"40","AT5G38700","AT5G38700","cotton fiber protein(AT5G38700)",833860
"41","AT1G75830","PDF1.1","low-molecular-weight cysteine-rich 67(LCR67)",843916
"42","AT2G41260","M17","glycine-rich protein / late embryogenesis abundant protein (M17)(M17)",818725
"43","AT1G80240","AT1G80240","choice-of-anchor C domain protein, putative (Protein of unknown function, DUF642)(DGR1)",844364
"44","AT5G48850","SDI1","Tetratricopeptide repeat (TPR)-like superfamily protein(ATSDI1)",834943
"45","AT5G54400","AT5G54400","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT5G54400)",835528
"46","AT4G32460","AT4G32460","choice-of-anchor C domain protein, putative (Protein of unknown function, DUF642)(AT4G32460)",829381
"47","AT5G13170","SWEET15","senescence-associated gene 29(SAG29)",831156
"48","AT4G15210","BAM5","beta-amylase 5(BAM5)",827185
"49","AT4G30290","XTH19","xyloglucan endotransglucosylase/hydrolase 19(XTH19)",829152
"50","AT5G04120","IPSP","Phosphoglycerate mutase family protein(AT5G04120)",830290
"51","AT5G23220","NIC3","nicotinamidase 3(NIC3)",832386
"52","AT2G31083","CLE5","CLAVATA3/ESR-RELATED 5(CLE5)",817663
