"","gene","symbol","Description","Entrez"
"1","AT4G37240","AT4G37240","HTH-type transcriptional regulator(AT4G37240)",829878
"2","AT1G78230","AT1G78230","Outer arm dynein light chain 1 protein(AT1G78230)",844159
"3","AT2G26980","CIPK3","CBL-interacting protein kinase 3(CIPK3)",817240
"4","AT4G37540","LBD39","LOB domain-containing protein 39(LBD39)",829909
"5","AT4G16690","PPD","methyl esterase 16(MES16)",827371
"6","AT4G18210","PUP10","purine permease 10(PUP10)",827546
"7","AT1G66760","AT1G66760","MATE efflux family protein(AT1G66760)",842994
"8","AT2G42620","MAX2","RNI-like superfamily protein(MAX2)",818862
"9","AT3G16350","AT3G16350","Homeodomain-like superfamily protein(AT3G16350)",820882
"10","AT1G30820","AT1G30820","CTP synthase family protein(AT1G30820)",839964
"11","AT5G04770","CAT6","cationic amino acid transporter 6(CAT6)",830355
"12","AT1G66150","TMK1","transmembrane kinase 1(TMK1)",842930
"13","AT1G29340","PUB17","plant U-box 17(PUB17)",839808
"14","AT1G67480","AT1G67480","Galactose oxidase/kelch repeat superfamily protein(AT1G67480)",843069
"15","AT1G65970","PRXIIC","thioredoxin-dependent peroxidase 2(TPX2)",842909
"16","AT2G19800","MIOX2","myo-inositol oxygenase 2(MIOX2)",816499
"17","AT1G35670","CPK11","calcium-dependent protein kinase 2(CDPK2)",840471
"18","AT4G29950","AT4G29950","Ypt/Rab-GAP domain of gyp1p superfamily protein(AT4G29950)",829118
"19","AT1G72150","PATL1","PATELLIN 1(PATL1)",843546
"20","AT1G75220","AT1G75220","Major facilitator superfamily protein(ERDL6)",843859
"21","AT1G09480","AT1G09480","NAD(P)-binding Rossmann-fold superfamily protein(AT1G09480)",837471
"22","AT1G13960","WRKY4","WRKY DNA-binding protein 4(WRKY4)",837956
"23","AT2G33160","AT2G33160","glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein(AT2G33160)",817877
"24","AT4G37220","AT4G37220","Cold acclimation protein WCOR413 family(AT4G37220)",829876
"25","AT1G25560","TEM1","AP2/B3 transcription factor family protein(TEM1)",839143
"26","AT1G07570","APK1A","Protein kinase superfamily protein(APK1A)",837271
"27","AT1G13260","RAV1","related to ABI3/VP1 1(RAV1)",837886
"28","AT3G14770","SWEET2","Nodulin MtN3 family protein(SWEET2)",820705
"29","AT1G25550","AT1G25550","myb-like transcription factor family protein(AT1G25550)",839142
"30","AT5G43860","CLH2","chlorophyllase 2(CLH2)",834408
"31","AT4G14040","SBP2","selenium-binding protein 2(SBP2)",827040
"32","AT5G59570","BOA","Homeodomain-like superfamily protein(BOA)",836076
"33","AT1G67470","AT1G67470","Protein kinase superfamily protein(AT1G67470)",843068
"34","AT5G58650","PSY1","plant peptide containing sulfated tyrosine 1(PSY1)",835979
