"","gene","symbol","Description","Entrez"
"1","AT3G49950","SCL32","GRAS family transcription factor(AT3G49950)",824157
"2","AT3G50870","GATA18","GATA type zinc finger transcription factor family protein(MNP)",824251
"3","AT1G79250","AGC1-7","AGC kinase 1.7(AGC1.7)",844265
"4","AT2G03370","AT2G03370","O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase-like protein(AT2G03370)",814866
"5","AT2G34315","AT2G34315","avirulence induced family protein(AT2G34315)",817993
"6","AT3G15250","AT3G15250","TPRXL(AT3G15250)",820756
"7","AT5G05900","UGT76C3","UDP-Glycosyltransferase superfamily protein(AT5G05900)",830475
"8","AT2G16230","AT2G16230","O-Glycosyl hydrolases family 17 protein(AT2G16230)",816120
"9","AT4G21830","MSRB7","methionine sulfoxide reductase B7(MSRB7)",828271
"10","AT5G59520","ZIP2","ZRT/IRT-like protein 2(ZIP2)",836071
"11","AT1G07615","ATOBGM","GTP-binding protein Obg/CgtA(AT1G07615)",5007670
"12","AT2G07711","AT2G07711","miscRNA(AT2G07711)",3768480
"13","AT3G01840","LYK2","Protein kinase superfamily protein(LYK2)",820047
"14","AT5G65280","GCL1","GCR2-like 1(GCL1)",836653
"15","AT2G34330","AT2G34330","LOW protein: protein BOBBER-like protein(AT2G34330)",817995
"16","AT5G16486","AT5G16486","RNA-directed DNA polymerase (reverse transcriptase)-related family protein(AT5G16486)",3770625
"17","AT3G26330","CYP71B37","cytochrome P450, family 71, subfamily B, polypeptide 37(CYP71B37)",822237
"18","AT1G32560","AT1G32560","Late embryogenesis abundant protein, group 1 protein(AtLEA4-1)",840150
"19","AT2G35300","LEA18","Late embryogenesis abundant protein, group 1 protein(LEA18)",818097
"20","AT3G59340","AT3G59340","solute carrier family 35 protein (DUF914)(AT3G59340)",825103
"21","AT3G23800","SBP3","selenium-binding protein 3(SBP3)",821962
"22","AT1G71250","AT1G71250","GDSL-like Lipase/Acylhydrolase superfamily protein(AT1G71250)",843466
"23","AT4G05100","AtMYB74","myb domain protein 74(MYB74)",825855
"24","AT4G25580","AT4G25580","CAP160 protein(AT4G25580)",828663
"25","AT5G54000","AT5G54000","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT5G54000)",835483
"26","AT5G59090","ATSBT4.12","subtilase 4.12(SBT4.12)",836026
"27","AT2G18540","AT2G18540","RmlC-like cupins superfamily protein(AT2G18540)",816369
