"","gene","symbol","Description","Entrez"
"1","AT1G65570","AT1G65570","Pectin lyase-like superfamily protein(AT1G65570)",842868
"2","AT5G15600","SP1L4","SPIRAL1-like4(SP1L4)",831412
"3","AT3G50130","AT3G50130","transmembrane protein, putative (DUF247)(AT3G50130)",824175
"4","AT5G21080","AT5G21080","hypothetical protein(AT5G21080)",832232
"5","AT5G58784","AT5G58784","Undecaprenyl pyrophosphate synthetase family protein(AT5G58784)",835994
"6","AT1G11490","AT1G11490","zinc finger (C2H2 type) family protein(AT1G11490)",837692
"7","AT5G64030","AT5G64030","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT5G64030)",836524
"8","AT3G20370","AT3G20370","TRAF-like family protein(AT3G20370)",821582
"9","AT5G06390","FLA17","FASCICLIN-like arabinogalactan protein 17 precursor(FLA17)",830527
"10","AT5G15265","AT5G15265","transmembrane protein(AT5G15265)",5008213
"11","AT1G52050","JAL8","Mannose-binding lectin superfamily protein(AT1G52050)",841634
"12","AT5G16460","AT5G16460","Putative adipose-regulatory protein (Seipin)(AT5G16460)",831507
"13","AT1G22440","AT1G22440","Zinc-binding alcohol dehydrogenase family protein(AT1G22440)",838850
"14","AT1G54940","GUX4","plant glycogenin-like starch initiation protein 4(PGSIP4)",841934
"15","AT1G34330","AT1G34330","miscRNA(AT1G34330)",3766915
"16","AT1G64910","UGT79B10","UDP-Glycosyltransferase superfamily protein(AT1G64910)",842799
"17","AT3G09925","AT3G09925","Pollen Ole e 1 allergen and extensin family protein(AT3G09925)",820153
"18","AT5G47490","SEC16B","RGPR-like protein(AT5G47490)",834799
"19","AT2G24300","CBP60E","Calmodulin-binding protein(AT2G24300)",816966
"20","AT5G15890","TBL21","TRICHOME BIREFRINGENCE-LIKE 21(TBL21)",831446
"21","AT1G12740","CYP87A2","cytochrome P450, family 87, subfamily A, polypeptide 2(CYP87A2)",837830
"22","AT3G59710","AT3G59710","NAD(P)-binding Rossmann-fold superfamily protein(AT3G59710)",825140
"23","AT5G03640","AT5G03640","Protein kinase superfamily protein(AT5G03640)",831770
"24","AT1G15210","ABCG35","pleiotropic drug resistance 7(ABCG35)",838087
"25","AT5G55480","GDPDL4","SHV3-like 1(SVL1)",835641
"26","AT3G52940","FK","Ergosterol biosynthesis ERG4/ERG24 family(FK)",824460
"27","AT5G33320","PPT1","Glucose-6-phosphate/phosphate translocator-like protein(CUE1)",833308
"28","AT2G29980","FAD3","fatty acid desaturase 3(FAD3)",817548
"29","AT3G12240","SCPL15","serine carboxypeptidase-like 15(SCPL15)",820404
"30","AT5G61020","ECT3","evolutionarily conserved C-terminal region 3(ECT3)",836223
"31","AT4G27400","AT4G27400","Late embryogenesis abundant (LEA) protein-like protein(AT4G27400)",828848
"32","AT3G47740","ABCA3","ABC2 homolog 2(ABCA3)",823928
"33","AT5G47980","BAHD1","HXXXD-type acyl-transferase family protein(AT5G47980)",834849
"34","AT1G48640","AT1G48640","Transmembrane amino acid transporter family protein(AT1G48640)",841286
"35","AT1G06923","AT1G06923","transcription repressor OFP17-like protein(AT1G06923)",3766672
"36","AT3G20940","CYP705A30","cytochrome P450, family 705, subfamily A, polypeptide 30(CYP705A30)",821644
"37","AT4G10350","BRN2","NAC domain containing protein 70(NAC070)",826627
"38","AT5G55400","FIM3","Actin binding Calponin homology (CH) domain-containing protein(AT5G55400)",835633
"39","AT1G52060","JAL9","Mannose-binding lectin superfamily protein(AT1G52060)",841635
"40","AT5G54370","AT5G54370","Late embryogenesis abundant (LEA) protein-like protein(AT5G54370)",835525
"41","AT2G27060","AT2G27060","Leucine-rich repeat protein kinase family protein(AT2G27060)",817248
"42","AT3G12540","AT3G12540","ternary complex factor MIP1 leucine-zipper protein (Protein of unknown function, DUF547)(AT3G12540)",820433
"43","AT5G43040","AT5G43040","Cysteine/Histidine-rich C1 domain family protein(AT5G43040)",834319
"44","AT1G06270","AT1G06270","Pentatricopeptide repeat (PPR) superfamily protein(AT1G06270)",837138
"45","AT1G65010","AT1G65010","WEB family protein (DUF827)(AT1G65010)",842809
"46","AT5G53460","GLT1","NADH-dependent glutamate synthase 1(GLT1)",835427
"47","AT1G59725","AT1G59725","DNAJ heat shock family protein(AT1G59725)",842265
"48","AT5G19800","AT5G19800","hydroxyproline-rich glycoprotein family protein(AT5G19800)",28721181
"49","AT1G52070","JAL10","Mannose-binding lectin superfamily protein(AT1G52070)",841636
"50","AT5G60530","AT5G60530","late embryogenesis abundant protein-related / LEA protein-like protein(AT5G60530)",836174
"51","AT5G19560","ROPGEF10","ROP uanine nucleotide exchange factor 10(ROPGEF10)",832076
"52","AT3G28153","AT3G28153","hypothetical protein(AT3G28153)",3768967
"53","AT3G03341","AT3G03341","cold-regulated protein(AT3G03341)",6240770
"54","AT1G04160","XI-B","myosin XI B(XIB)",839246
"55","AT3G60330","AHA7","H[+]-ATPase 7(HA7)",825204
"56","AT4G34580","SFH1","Sec14p-like phosphatidylinositol transfer family protein(COW1)",829610
"57","AT1G54560","XI-E","Myosin family protein with Dil domain-containing protein(XIE)",841898
"58","AT1G30100","NCED5","nine-cis-epoxycarotenoid dioxygenase 5(NCED5)",839889
"59","AT2G20520","FLA6","FASCICLIN-like arabinogalactan 6(FLA6)",816574
"60","AT2G47460","MYB12","myb domain protein 12(MYB12)",819359
"61","AT5G10130","DFC","Pollen Ole e 1 allergen and extensin family protein(AT5G10130)",830877
"62","AT3G24210","AT3G24210","Ankyrin repeat family protein(AT3G24210)",822007
"63","AT5G02350","AT5G02350","Cysteine/Histidine-rich C1 domain family protein(AT5G02350)",831920
"64","AT5G10990","AT5G10990","SAUR-like auxin-responsive protein family(AT5G10990)",830966
"65","AT1G44830","ERF014","Integrase-type DNA-binding superfamily protein(AT1G44830)",841047
"66","AT1G78520","AT1G78520","Carbohydrate-binding X8 domain superfamily protein(AT1G78520)",844188
"67","AT4G02810","FAF1","FANTASTIC four-like protein (DUF3049)(FAF1)",828170
"68","AT5G17590","AT5G17590","Putative membrane lipoprotein(AT5G17590)",831625
"69","AT1G15440","PWP2","periodic tryptophan protein 2(PWP2)",838115
